Wall time,Step,Value
1714213924.5169199,20000,0.004991439636796713
1714213988.1865623,30000,0.004982917569577694
1714214064.538934,40000,0.004974392242729664
1714214137.2087028,50000,0.004965843632817268
1714214201.400802,60000,0.004957325290888548
1714214269.748794,70000,0.004948760848492384
1714214336.6394851,80000,0.004940208978950977
1714214404.31942,90000,0.00493167107924819
1714214482.0403094,100000,0.004923134110867977
1714214561.330532,110000,0.004914578516036272
1714214634.612809,120000,0.004906011745333672
1714214717.651992,130000,0.004897490609437227
1714214790.8236196,140000,0.004888939205557108
1714214867.0917313,150000,0.004880395717918873
1714214959.679605,160000,0.004871849436312914
1714215042.9564219,170000,0.004863316193223
1714215115.0852666,180000,0.0048547652550041676
1714215208.7343023,190000,0.0048462264239788055
1714215274.0631638,200000,0.0048376829363405704
1714215378.6094065,210000,0.004829121753573418
1714215446.0805097,220000,0.004820602014660835
1714215536.6275742,230000,0.004812052473425865
